"period","value","country","var"
2021-04-01,127.149629802494,"FR","world_demand"
2021-07-01,127.366225449985,"FR","world_demand"
2021-10-01,127.541705555498,"FR","world_demand"
1980-01-01,23.0541365561629,"DE","world_demand"
1980-04-01,22.2962360642659,"DE","world_demand"
1980-07-01,22.0355791969251,"DE","world_demand"
1980-10-01,21.5534279856074,"DE","world_demand"
1981-01-01,21.5130390531508,"DE","world_demand"
1981-04-01,21.739624059412,"DE","world_demand"
1981-07-01,22.3727430865578,"DE","world_demand"
1981-10-01,22.4356251963568,"DE","world_demand"
1982-01-01,22.4685190076973,"DE","world_demand"
1982-04-01,22.470178146246,"DE","world_demand"
1982-07-01,22.3616971341214,"DE","world_demand"
1982-10-01,22.063933737329,"DE","world_demand"
1983-01-01,22.2272967132387,"DE","world_demand"
1983-04-01,22.5957988643271,"DE","world_demand"
1983-07-01,22.9786647516712,"DE","world_demand"
1983-10-01,23.6814138310788,"DE","world_demand"
1984-01-01,24.2837154603491,"DE","world_demand"
1984-04-01,24.716761182529,"DE","world_demand"
1984-07-01,25.1082200489905,"DE","world_demand"
1984-10-01,25.4804313837809,"DE","world_demand"
1985-01-01,25.9209022863443,"DE","world_demand"
1985-04-01,25.9720465473178,"DE","world_demand"
1985-07-01,26.1474499136713,"DE","world_demand"
1985-10-01,26.6789872008842,"DE","world_demand"
1986-01-01,26.7654347909864,"DE","world_demand"
1986-04-01,27.7667854160772,"DE","world_demand"
1986-07-01,28.3308051985202,"DE","world_demand"
1986-10-01,28.3673324258574,"DE","world_demand"
1987-01-01,28.4916478552161,"DE","world_demand"
1987-04-01,29.1377767238858,"DE","world_demand"
1987-07-01,30.0803199169382,"DE","world_demand"
1987-10-01,31.1107318269253,"DE","world_demand"
1988-01-01,30.7893158577746,"DE","world_demand"
1988-04-01,31.3825704150927,"DE","world_demand"
1988-07-01,32.4400992859373,"DE","world_demand"
1988-10-01,33.4325094981297,"DE","world_demand"
1989-01-01,33.9613839376691,"DE","world_demand"
1989-04-01,34.5021146301928,"DE","world_demand"
1989-07-01,34.8531294434062,"DE","world_demand"
1989-10-01,35.476152194692,"DE","world_demand"
1990-01-01,36.1392481806662,"DE","world_demand"
1990-04-01,36.9048114741412,"DE","world_demand"
1990-07-01,36.3915561617361,"DE","world_demand"
1990-10-01,36.7026293473966,"DE","world_demand"
1991-01-01,36.651062783004,"DE","world_demand"
1991-04-01,36.9945948658663,"DE","world_demand"
1991-07-01,37.1926094365781,"DE","world_demand"
1991-10-01,37.4802998228802,"DE","world_demand"
1992-01-01,38.4284684161356,"DE","world_demand"
1992-04-01,38.718765302534,"DE","world_demand"
1992-07-01,38.5006273858895,"DE","world_demand"
1992-10-01,38.2046668313342,"DE","world_demand"
1993-01-01,37.7413140198089,"DE","world_demand"
1993-04-01,37.5046124953885,"DE","world_demand"
1993-07-01,37.7200359584742,"DE","world_demand"
1993-10-01,38.5779877230407,"DE","world_demand"
1994-01-01,39.4618867244754,"DE","world_demand"
1994-04-01,40.438518855828,"DE","world_demand"
1994-07-01,41.1003469519229,"DE","world_demand"
1994-10-01,42.9102748608645,"DE","world_demand"
1995-01-01,43.4577802694144,"DE","world_demand"
1995-04-01,44.495360480615,"DE","world_demand"
1995-07-01,44.6334101630598,"DE","world_demand"
1995-10-01,45.2945363732456,"DE","world_demand"
1996-01-01,45.9812047273872,"DE","world_demand"
1996-04-01,46.1654233118399,"DE","world_demand"
1996-07-01,46.8016470318274,"DE","world_demand"
1996-10-01,47.8750479224111,"DE","world_demand"
1997-01-01,49.244882157827,"DE","world_demand"
1997-04-01,51.0154192356209,"DE","world_demand"
1997-07-01,52.204706819724,"DE","world_demand"
1997-10-01,53.5102800034933,"DE","world_demand"
1998-01-01,55.0750783836901,"DE","world_demand"
1998-04-01,55.5243586579274,"DE","world_demand"
1998-07-01,55.8942546281789,"DE","world_demand"
1998-10-01,56.8655020560861,"DE","world_demand"
1999-01-01,57.4699050326425,"DE","world_demand"
1999-04-01,58.6921470639521,"DE","world_demand"
1999-07-01,60.2160326800299,"DE","world_demand"
1999-10-01,62.2374785271588,"DE","world_demand"
2000-01-01,64.5286912844664,"DE","world_demand"
2000-04-01,66.4521689497403,"DE","world_demand"
2000-07-01,68.420233771258,"DE","world_demand"
2000-10-01,70.4987107936032,"DE","world_demand"
2001-01-01,69.9018162566937,"DE","world_demand"
2001-04-01,69.1881778576511,"DE","world_demand"
2001-07-01,68.2854333706423,"DE","world_demand"
2001-10-01,67.8539109259489,"DE","world_demand"
2002-01-01,69.7106197272948,"DE","world_demand"
2002-04-01,70.7116896108887,"DE","world_demand"
2002-07-01,71.2306519747902,"DE","world_demand"
2002-10-01,72.3069851948415,"DE","world_demand"
2003-01-01,72.8612621275179,"DE","world_demand"
2003-04-01,72.9468775992357,"DE","world_demand"
2003-07-01,74.1508323151684,"DE","world_demand"
2003-10-01,76.1006128157388,"DE","world_demand"
2004-01-01,77.3905128282491,"DE","world_demand"
2004-04-01,80.0561482482292,"DE","world_demand"
2004-07-01,81.2690954805539,"DE","world_demand"
2004-10-01,82.7806767806737,"DE","world_demand"
2005-01-01,83.279292430168,"DE","world_demand"
2005-04-01,85.7097595557615,"DE","world_demand"
2005-07-01,87.1807698962135,"DE","world_demand"
2005-10-01,89.2998438424257,"DE","world_demand"
2006-01-01,92.0572360009657,"DE","world_demand"
2006-04-01,93.8964608561213,"DE","world_demand"
2006-07-01,93.5798472586995,"DE","world_demand"
2006-10-01,96.0374332962084,"DE","world_demand"
2007-01-01,97.9172925372146,"DE","world_demand"
2007-04-01,98.9933724115119,"DE","world_demand"
2007-07-01,100.905233916066,"DE","world_demand"
2007-10-01,102.177765889214,"DE","world_demand"
2008-01-01,103.02122133267,"DE","world_demand"
2008-04-01,102.562412668045,"DE","world_demand"
2008-07-01,101.374754668018,"DE","world_demand"
2008-10-01,96.6782040362549,"DE","world_demand"
2009-01-01,88.783248324869,"DE","world_demand"
2009-04-01,87.5001881577826,"DE","world_demand"
2009-07-01,90.2841552415683,"DE","world_demand"
2009-10-01,93.0364866608741,"DE","world_demand"
2010-01-01,95.1041269175216,"DE","world_demand"
2010-04-01,99.4832837077842,"DE","world_demand"
2010-07-01,101.782193121505,"DE","world_demand"
2010-10-01,103.630396253189,"DE","world_demand"
2011-01-01,105.734420414855,"DE","world_demand"
2011-04-01,105.299730917482,"DE","world_demand"
2011-07-01,106.602849277419,"DE","world_demand"
2011-10-01,106.124732609797,"DE","world_demand"
2012-01-01,106.716529280315,"DE","world_demand"
2012-04-01,106.755664524647,"DE","world_demand"
2012-07-01,107.363138171972,"DE","world_demand"
2012-10-01,106.53133696392,"DE","world_demand"
2013-01-01,107.189269399774,"DE","world_demand"
2013-04-01,110.005095033571,"DE","world_demand"
2013-07-01,110.972553325311,"DE","world_demand"
2013-10-01,112.120361897437,"DE","world_demand"
2014-01-01,112.816322306534,"DE","world_demand"
2014-04-01,113.311174974666,"DE","world_demand"
2014-07-01,114.523001725663,"DE","world_demand"
2014-10-01,115.977865160574,"DE","world_demand"
2015-01-01,117.309841397368,"DE","world_demand"
2015-04-01,119.874266880971,"DE","world_demand"
2015-07-01,119.346571324043,"DE","world_demand"
2015-10-01,121.20440600813,"DE","world_demand"
2016-01-01,121.648525969308,"DE","world_demand"
2016-04-01,122.592412751875,"DE","world_demand"
2016-07-01,123.884737218785,"DE","world_demand"
2016-10-01,125.603343487201,"DE","world_demand"
2017-01-01,128.028608836002,"DE","world_demand"
2017-04-01,129.492155331626,"DE","world_demand"
2017-07-01,131.431896669142,"DE","world_demand"
2017-10-01,133.323874527381,"DE","world_demand"
2018-01-01,134.238997807345,"DE","world_demand"
2018-04-01,135.030455646107,"DE","world_demand"
2018-07-01,135.258482003276,"DE","world_demand"
2018-10-01,136.153049224713,"DE","world_demand"
2019-01-01,136.875673934351,"DE","world_demand"
2019-04-01,136.921918440345,"DE","world_demand"
2019-07-01,137.914361715842,"DE","world_demand"
2019-10-01,136.021254992228,"DE","world_demand"
2020-01-01,132.140544822165,"DE","world_demand"
2020-04-01,113.646947614439,"DE","world_demand"
2020-07-01,128.141342476632,"DE","world_demand"
2020-10-01,132.740454756816,"DE","world_demand"
2021-01-01,133.012407977873,"DE","world_demand"
2021-04-01,133.303145933166,"DE","world_demand"
2021-07-01,133.578040822761,"DE","world_demand"
2021-10-01,133.823027931206,"DE","world_demand"
1980-01-01,23.2475153888725,"IT","world_demand"
1980-04-01,22.8265690734008,"IT","world_demand"
1980-07-01,22.496765173384,"IT","world_demand"
1980-10-01,22.5073411340469,"IT","world_demand"
1981-01-01,22.3872201093967,"IT","world_demand"
1981-04-01,22.5651936731991,"IT","world_demand"
1981-07-01,23.1343203617192,"IT","world_demand"
1981-10-01,23.1541266436559,"IT","world_demand"
1982-01-01,23.286880753537,"IT","world_demand"
1982-04-01,23.3822843581374,"IT","world_demand"
1982-07-01,23.0766434790717,"IT","world_demand"
1982-10-01,22.7489617380873,"IT","world_demand"
1983-01-01,22.9174573993573,"IT","world_demand"
1983-04-01,23.2779409478999,"IT","world_demand"
1983-07-01,23.5848173157158,"IT","world_demand"
1983-10-01,24.0643925776977,"IT","world_demand"
1984-01-01,24.5989172048897,"IT","world_demand"
1984-04-01,24.9143248562338,"IT","world_demand"
1984-07-01,25.2853578125358,"IT","world_demand"
1984-10-01,25.3479509423297,"IT","world_demand"
1985-01-01,25.6384596069637,"IT","world_demand"
1985-04-01,25.5319372483,"IT","world_demand"
1985-07-01,25.6166051555937,"IT","world_demand"
1985-10-01,25.9032516211419,"IT","world_demand"
1986-01-01,26.0770291981904,"IT","world_demand"
1986-04-01,26.8860941086351,"IT","world_demand"
1986-07-01,27.1115255796004,"IT","world_demand"
1986-10-01,27.2731784516311,"IT","world_demand"
1987-01-01,27.4597058688874,"IT","world_demand"
1987-04-01,28.1281212855562,"IT","world_demand"
1987-07-01,28.5860793237691,"IT","world_demand"
1987-10-01,29.4009842435745,"IT","world_demand"
1988-01-01,29.2630750460267,"IT","world_demand"
1988-04-01,29.8681492374026,"IT","world_demand"
1988-07-01,30.8578068792243,"IT","world_demand"
1988-10-01,31.8417013237524,"IT","world_demand"
1989-01-01,32.3690754679478,"IT","world_demand"
1989-04-01,32.9546683436894,"IT","world_demand"
1989-07-01,33.3695365425425,"IT","world_demand"
1989-10-01,34.0520920352484,"IT","world_demand"
1990-01-01,34.6423227437419,"IT","world_demand"
1990-04-01,35.1640942077479,"IT","world_demand"
1990-07-01,35.561279193607,"IT","world_demand"
1990-10-01,35.9218802916372,"IT","world_demand"
1991-01-01,36.2367936867905,"IT","world_demand"
1991-04-01,36.4245368900117,"IT","world_demand"
1991-07-01,36.7774325011385,"IT","world_demand"
1991-10-01,37.0689762758629,"IT","world_demand"
1992-01-01,37.9410054922146,"IT","world_demand"
1992-04-01,37.914038513914,"IT","world_demand"
1992-07-01,37.7537290310879,"IT","world_demand"
1992-10-01,37.7571148929538,"IT","world_demand"
1993-01-01,36.9106541453354,"IT","world_demand"
1993-04-01,36.9098631282741,"IT","world_demand"
1993-07-01,37.2279382725675,"IT","world_demand"
1993-10-01,37.8794897138386,"IT","world_demand"
1994-01-01,38.5291564232917,"IT","world_demand"
1994-04-01,39.5580163794628,"IT","world_demand"
1994-07-01,40.3606360678675,"IT","world_demand"
1994-10-01,41.7602465206782,"IT","world_demand"
1995-01-01,42.2123313386235,"IT","world_demand"
1995-04-01,43.1627519015677,"IT","world_demand"
1995-07-01,43.5137932799681,"IT","world_demand"
1995-10-01,44.0438568798751,"IT","world_demand"
1996-01-01,44.6840461232483,"IT","world_demand"
1996-04-01,45.1543590415116,"IT","world_demand"
1996-07-01,45.7807565212161,"IT","world_demand"
1996-10-01,46.9167782911477,"IT","world_demand"
1997-01-01,48.2102832706354,"IT","world_demand"
1997-04-01,49.4271334003343,"IT","world_demand"
1997-07-01,50.7357470005423,"IT","world_demand"
1997-10-01,51.8417649315903,"IT","world_demand"
1998-01-01,53.2507282557732,"IT","world_demand"
1998-04-01,54.0891552497695,"IT","world_demand"
1998-07-01,54.4825624392647,"IT","world_demand"
1998-10-01,55.2162730399556,"IT","world_demand"
1999-01-01,56.1538576916813,"IT","world_demand"
1999-04-01,57.8132753018673,"IT","world_demand"
1999-07-01,59.2658935870414,"IT","world_demand"
1999-10-01,60.7765959196187,"IT","world_demand"
2000-01-01,62.7545978798156,"IT","world_demand"
2000-04-01,64.580575914002,"IT","world_demand"
2000-07-01,66.3341314062312,"IT","world_demand"
2000-10-01,68.3907100970897,"IT","world_demand"
2001-01-01,67.5824502018181,"IT","world_demand"
2001-04-01,66.8774512541724,"IT","world_demand"
2001-07-01,65.9016231433847,"IT","world_demand"
2001-10-01,65.5014116923973,"IT","world_demand"
2002-01-01,66.7583149453018,"IT","world_demand"
2002-04-01,68.0131308000723,"IT","world_demand"
2002-07-01,68.8095043895054,"IT","world_demand"
2002-10-01,69.9327787072813,"IT","world_demand"
2003-01-01,70.6081929827924,"IT","world_demand"
2003-04-01,70.932836316584,"IT","world_demand"
2003-07-01,72.2457575348061,"IT","world_demand"
2003-10-01,74.348580856707,"IT","world_demand"
2004-01-01,75.7491020002392,"IT","world_demand"
2004-04-01,78.0669415860392,"IT","world_demand"
2004-07-01,79.3855784545652,"IT","world_demand"
2004-10-01,80.8435953857562,"IT","world_demand"
2005-01-01,81.3514396347797,"IT","world_demand"
2005-04-01,83.8732363473077,"IT","world_demand"
2005-07-01,85.2794817664362,"IT","world_demand"
2005-10-01,87.7785794055118,"IT","world_demand"
2006-01-01,90.4452262339262,"IT","world_demand"
2006-04-01,92.2788470961952,"IT","world_demand"
2006-07-01,92.2400990260558,"IT","world_demand"
2006-10-01,94.9951581265031,"IT","world_demand"
2007-01-01,97.3830227118384,"IT","world_demand"
2007-04-01,98.6031001375585,"IT","world_demand"
2007-07-01,100.606542119028,"IT","world_demand"
2007-10-01,101.805032097007,"IT","world_demand"
2008-01-01,103.246774894165,"IT","world_demand"
2008-04-01,102.397129949023,"IT","world_demand"
2008-07-01,101.836166319325,"IT","world_demand"
2008-10-01,96.9484483699605,"IT","world_demand"
2009-01-01,89.4212601395156,"IT","world_demand"
2009-04-01,87.5338331791031,"IT","world_demand"
2009-07-01,90.4549892536612,"IT","world_demand"
2009-10-01,92.7041527414827,"IT","world_demand"
2010-01-01,95.1645993421072,"IT","world_demand"
2010-04-01,99.8856775953164,"IT","world_demand"
2010-07-01,101.50982737599,"IT","world_demand"
2010-10-01,103.439895686586,"IT","world_demand"
2011-01-01,105.85814661793,"IT","world_demand"
2011-04-01,106.099666897999,"IT","world_demand"
2011-07-01,107.267944903023,"IT","world_demand"
2011-10-01,107.065997762686,"IT","world_demand"
2012-01-01,107.354347988766,"IT","world_demand"
2012-04-01,107.629505676951,"IT","world_demand"
2012-07-01,108.40879104338,"IT","world_demand"
2012-10-01,107.513075344928,"IT","world_demand"
2013-01-01,108.907019833436,"IT","world_demand"
2013-04-01,112.356305424064,"IT","world_demand"
2013-07-01,112.920513582641,"IT","world_demand"
2013-10-01,113.542296793264,"IT","world_demand"
2014-01-01,114.375952138488,"IT","world_demand"
2014-04-01,114.763792766807,"IT","world_demand"
2014-07-01,116.162425952104,"IT","world_demand"
2014-10-01,117.796772949182,"IT","world_demand"
2015-01-01,119.246312356217,"IT","world_demand"
2015-04-01,119.670716258265,"IT","world_demand"
2015-07-01,120.303447216583,"IT","world_demand"
2015-10-01,121.76591762854,"IT","world_demand"
2016-01-01,122.475781520563,"IT","world_demand"
2016-04-01,123.179852532342,"IT","world_demand"
